OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,SHAPE_Length,SHAPE_Area
21462,2020,CA,CDF,CZU,CZU LIGHTNING COMPLEX,00005205,2020/08/16 00:00:00+00,2020/09/24 00:00:00+00,1,,86509,86553.461,7,1,,255052.19325976,-552318495.777981
21480,2020,CA,CDF,ORC,SILVERADO,20121364,2020/10/26 00:00:00+00,2020/11/02 00:00:00+00,14, ,0,12469.2,7,1,,65362.593574509,-73125983.4583518
21481,2020,CA,CDF,ORC,BLUE RIDGE,20121612,2020/10/26 00:00:00+00,2020/11/02 00:00:00+00,14, ,0,13694.53,7,1,,65838.8753839644,-80671871.2688464
21482,2020,CA,CDF,ORC,BOND,20136890,2020/12/03 00:00:00+00,2020/12/07 00:00:00+00,14, ,0,6681.1011,7,1,,52771.3654774732,-39200475.3997512
21515,2020,CA,CCO,KRN,STAGECOACH,02033315,2020/08/03 00:00:00+00,2020/08/03 00:00:00+00,14,,7750,7750.6372,1,1,,46920.3382001835,-47373861.8492288
21560,2020,CA,CDF,SHU,ZOGG,00009978,2020/09/27 00:00:00+00,2020/10/13 00:00:00+00,14,,56338,56338.051,3,1,,190609.169916148,-393993433.312704
21569,2020,CA,CDF,AEU,GRANT FIRE,00016543,2020/06/12 00:00:00+00,2020/06/12 00:00:00+00,2,,5042,5062.1982,1,1,,31944.6719386229,-33560841.7726705
21580,2020,CA,CDF,FKU,MINERAL,00010219,2020/07/13 00:00:00+00,2020/07/26 00:00:00+00,14,,29666.96,29666.961,2,1,,113981.402275566,-184633612.393482
21595,2020,CA,CDF,BEU,CARMEL,00004081,2020/08/18 00:00:00+00,2020/09/06 00:00:00+00,10,"Brush or brush-and-grass mixture fire
",6901,6996.9419,7,1,,55600.12331822,-43813350.5993144
21604,2020,CA,CDF,BEU,RIVER,00004024,2020/08/16 00:00:00+00,2020/09/04 00:00:00+00,1,"Brush or brush-and-grass mixture fire
",48088,50213.82,7,1,,188233.155878169,-314948093.903798
21616,2020,CA,CDF,SCU,SCU COMPLEX,00005740,2020/08/16 00:00:00+00,2020/09/11 00:00:00+00,1,,,396399,2,1,,634336.338845716,-2545883718.99618
21618,2020,CA,CDF,SCU,CREWS,00004686,2020/07/05 00:00:00+00,2020/07/15 00:00:00+00,8,,,5513,2,1,,45170.9785570476,-35060829.4026674
21625,2020,CA,CDF,RRU,APPLE,00096640,2020/07/31 00:00:00+00,2020/08/09 00:00:00+00,14,Auto-generated by EGP-IRWIN,,33209.309,2,1,,150101.100013662,-196145745.088594
21641,2020,CA,USF,ANF,BOBCAT,00003687,2020/09/06 00:00:00+00,2020/10/19 00:00:00+00,14,56C3E0AE-98EF-4433-863D-23A5DFF3D0C2,115796,115997.98,7,1,,433313.073884562,-690091830.297993
21665,2020,CA,CDF,LNU,WALLBRIDGE,00013407,2020/08/17 00:00:00+00,2020/09/02 00:00:00+00,1,Part of the LNU LIGHTNING COMPLEX,,55208.891,7,1,,157572.908253266,-366514226.490754
21666,2020,CA,CDF,LNU,HENNESSEY,00013337,2020/08/17 00:00:00+00,2020/09/16 00:00:00+00,1,Part of the LNU LIGHTNING COMPLEX,305651,305351.59,7,1,,1008834.88444174,-2027266568.25791
21667,2020,CA,CDF,LNU,GLASS,00015497,2020/09/27 00:00:00+00,2020/10/20 00:00:00+00,14,J. Baldwin,,67484.344,7,1,,272074.173454487,-447043238.763344
21678,2020,CA,USF,TNF,LOYALTON,00001600,2020/08/14 00:00:00+00,2020/08/27 00:00:00+00,1,0896AFFE-7839-40D4-BA6D-407F47E4CAA6,47029,46720.883,8,1,,132036.550482008,-319860110.443544
21679,2020,CA,USF,PNF,SHEEP,00001299,2020/08/17 00:00:00+00,2020/09/07 00:00:00+00,1,FB31F965-B88D-4C84-8B88-3241F38187CC,29570,29541.121,7,1,,123134.86978424,-205912404.478947
21680,2020,CA,USF,LPF,DOLAN,00002428,2020/08/18 00:00:00+00,2020/12/31 00:00:00+00,14,F0A60F88-D1D5-4D86-8105-A3A06456B357,124924,124527.31,7,1,,255261.397082853,-772950527.937133
21683,2020,CA,USF,PNF,NORTH COMPLEX,00001302,2020/08/17 00:00:00+00,2020/12/03 00:00:00+00,1,76D31198-0DB2-4ED3-8A95-85F24964E547,318776,318776.69,1,1,,515161.140670983,-2183903306.79724
21684,2020,CA,USF,SQF,CASTLE,00002541,2020/08/19 00:00:00+00,2021/01/04 00:00:00+00,1,4CE00061-B897-49DC-8839-D08E040FF65D,174178,170647.84,7,1,,897716.760534046,-1063135639.87627
21688,2020,CA,USF,SNF,CREEK,00001391,2020/09/04 00:00:00+00,2020/12/24 00:00:00+00,14,33CBB9DC-6983-4F47-B821-9C9A6CAC381D,379895,379882.25,8,1,,1030210.52228472,-2435747263.73596
21695,2020,CA,USF,KNF,DEVIL,00007084,2020/09/09 00:00:00+00,,14,C99607D1-B1D4-4FE3-9B28-36C315AC4306,8857,8871.9326,7,1,,108856.594837955,-64904831.302981
21707,2020,CA,USF,KNF,SLATER,00007035,2020/09/08 00:00:00+00,2020/12/12 00:00:00+00,14,24CDAB5C-7832-4546-BD05-15CC702A0326,157270,157429.77,3,1,,580102.551891632,-1152491340.13859
21716,2020,CA,USF,ANF,LAKE,00003273,2020/08/12 00:00:00+00,2020/08/30 00:00:00+00,14,"IRWINID BD5901D9-C99A-45CB-B799-F1CAD5F3EA4B,",31089,30999.387,7,1,,117870.197834675,-185934914.634283
21718,2020,CA,USF,CNF,VALLEY,00002833,2020/09/05 00:00:00+00,2020/09/24 00:00:00+00,14,A55E40C0-7692-40CD-95ED-113D7936B7F7,16390,16389.529,3,1,,112779.788219773,-94002680.793697
21738,2020,CA,CDF,RRU,SNOW,00119353,2020/09/17 00:00:00+00,2020/09/24 00:00:00+00,10,IRWINID FFCB89F5-98FB-4C3A-9554-3D1554181A63,6254,6253.437,2,1,,48686.0783056112,-36805044.7687905
21743,2020,CA,USF,MNF,AUGUST COMPLEX FIRES,00008864,2020/08/16 00:00:00+00,2020/11/11 00:00:00+00,1,92D7C097-9C52-4824-A261-B0BD6F932EF3,,1032699,3,1,,1695542.55514706,-7116307899.12388
21745,2020,CA,CDF,LMU,HOG,00003874,2020/07/18 00:00:00+00,2020/08/28 00:00:00+00,14,795DCBB1-F228-4F7B-9C92-14999DC4B397,9564,9566.3555,7,1,,85678.3440425632,-66866941.2191277
21748,2020,CA,USF,SRF,RED SALMON COMPLEX,00000643,2020/07/27 00:00:00+00,2020/11/19 00:00:00+00,1,599BC281-404B-4F3E-BE7F-9A8F7B3E9E56,142386,143836.33,8,1,,464942.025152107,-1026602327.56319
21755,2020,CA,NPS,YNP,BLUEJAY,00000054,2020/07/25 00:00:00+00,2020/11/19 00:00:00+00,1,,6922,6921.9873,7,2,,55875.1320954336,-44992208.0476804
21756,2020,CA,NPS,BNP,CALDWELL,00000479,2020/07/22 00:00:00+00,2020/09/01 00:00:00+00,1, ,80859,81224.367,7,1,,236072.50028657,-590731985.530574
